REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
00000056592,peinture,SR 42,M0729,propriété de la commune ; Saisie révolutionnaire ; Rouen ; musée des Beaux-Arts,tableau,,SAINT SEBASTIEN SOIGNE PAR IRENE A LA LANTERNE,anonyme ; LA TOUR Georges de (d'après),,"de La Tour : Vic-sur-Seille, 1593 ; Lunéville, 1652 ; Louis Demonts, 1927 : d'après de La Tour",inconnu ; masculin,France ; France (d'après),HONTHORST GERRIT VAN (attribué en 1809) ; HONTHORST GERRIT VA (attribué en 1911) ; (D'APRES) ),17e siècle,,,,2e quart 17e siècle,copie,"autres versions, copies, répliques conservées aux musées de Kansas City, de Detroit, d'Orléans, d'Evreux, en l'église Notre-Dame-de-Grâce à Honfleur, collection S. à Paris, passée à la vente Willmot Robinson and Fischer à Londres le 8 décembre 1933",,,,,,,,,,peinture à l'huile ; toile,109 H ; 142 L,,,,,"scène biblique (saint Sébastien, sainte Irène de Rome, lanterne)",,,,1792,clergé,,,"NEUFCHATEL, EGLISE (1835-1888); ROUEN, COUVENT (?)",,,,,,CAT. LE CARPENTIER n° 379 ; CAT. 1809 n° 3 ; CAT. 1818 n° 166 ; CAT. 1822 n° 119 ; CAT. 1890 n° 678 ; CAT. 1911 n° 827 CAT. 1967 P. 75 ; CAT. ROSENBERG n° 62 ; CAT. 1978 P. 87,,,2026-02-05,,C2RMF,,,,,,,Normandie,Seine-Maritime,Rouen,musée des beaux-arts,Rouen ; musée des beaux-arts,Rouen ; musée des beaux-arts
00000069052,peinture,1938 529,M5011,propriété de l'Etat ; legs ; Dijon ; Musée Magnin,tableau,,Le martyre de saint Barthélémy,"anonyme ; LE BRUN Charles (?, d'après)",,,,France ; France (d'après),"ECOLE ITALIENNE 17E SIECLE, ?, ECOLE ESPAGNOLE XVII EME SIECLE, ? (CAT. 1938)",2e moitié 17e siècle,,,,2e quart 17e siècle (?),"copie, ?","cette copie pourrait être celle d'un tableau que Charles Le Brun, peignit à Lyon en 1646, cité par Guillet de Saint-Georges (publié en 1854) , aujourd'hui disparu ; deux tableaux de Le Brun la mort de Caton (1646, Arras, musée des beaux-arts) , le crucifiement de Saint André (1647, Paris, cathédrale Notre-Dame) présentent de nombreux points communs avec ce martyre",,,,,,,,,,peinture à l'huile ; toile,128 H ; 96 L,,,,,"scène historique (saint Barthélémy, écorchement, martyre, bourreau)",,,,1938 Entrée matérielle ; 1945,Magnin Maurice,,,,,,,,,"CAT. 1938 (MS) n° 529 ; CAT. BREJON, 1980, n° R. 20, P. 150",,,2021-06-23,,© Thierry de Girval ; © Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,musée national Magnin,Dijon ; musée national Magnin,Dijon ; musée national Magnin
00000074851,peinture ; histoire,D 858.1.2,M0211,propriété de l'Etat,tableau,,"SAINT LOUIS ACCOMPAGNE DE SA MERE BLANCHE DE CASTILLE, SE REND A NOTRE-DAME",MARQUIS Pierre Charles,,,,France,,3e quart 19e siècle,1857,,,,,,,,,,,,,,,peinture à l'huile ; toile,150.5 H ; 115.5 L,signé,MARQUIS 1857 (S.D.B.M.),,,"scène historique (Blanche de Castille, Louis IX, cavalier, soldat, cortège, château, prison, foule, panier : vannerie, cage, oiseau, place, Paris, clocher, bouteille, pan-de-bois, Moyen Age)",CONCIERGERIE; SAINTE-CHAPELLE,,,,,dépôt ; Rennes ; musée des Beaux-Arts,1858,,,,,,"Salon des artistes français, Paris, 1857",CAT. 1884 n° 287,,,2023-11-15,,© louis Deschamps,,,,,,,Bretagne,Ille-et-Vilaine,Rennes,musée des beaux-arts,Rennes ; musée des beaux-arts,Rennes ; musée des beaux-arts
00000075323,peinture,INV 801.1.24,M0211,propriété de l'Etat ; saisie révolutionnaire (?),tableau,,VOCATION DE SAINT PIERRE ET DE SAINT ANDRE,Corneille Michel-Ange (1642-1708),,"Paris, 1642 ; Paris, 1708",,France,,3e quart 17e siècle,1673,,,,morceau de réception ; oeuvre en rapport,"réplique de ce tableau, exécutée en 1672, par Jean-Baptiste Corneille pour Notre-Dame de Paris, conservée au musée d'Arras",,,,,,,,,,PEINTURE A L'HUILE ; TOILE,H. 74 ; L. 60,,,,,"scène biblique (Vocation des apôtres, saint Pierre, saint André, arbre, bateau à gaffe, lac) ; fond de paysage (ville) ; bateau à voiles ; colline ; nuage ; effet de lumière",,,Selon Matthieu (4) ; Selon Marc (16) ; Selon Jean (1) ; Nouveau Testament,,,attribution ; Rennes ; musée des Beaux-Arts,1801 attribué,,,,,,"PREMIERE IDEE, MUSEE DES BEAUX-ARTS DE RENNES, JUIN-SEPTEMBRE 1987, n° 26 ; AU TEMPS DE LOUIS XIV, LA PEINTURE FRANCAISE DE POUSSIN A WATTEAU, OKOYAMA, KITAKYUSHU, JUIN-SEPTEMBRE 1989, n° 6","CAT. 1884, n° 232 ; CAT. 1979, n° 12 ; SCHNAPPER, 1974, P. 38 ; ARCHIVES DE L'ART FRANCAIS, 1852-1853, T. II, P. 363 ; MONTAIGLON A. DE, PROCES VERBAUX DE L'ACADEMIE ROYALE DE PEINTURE ET SCULPTURE 1648-1792, 1875, T. I ; LES QUATRE MAYS DES TROIS CORNEILLE, IN : REVUE DU LOUVRE, n° 4-5, 1961, P. 187 ; AUZAS P.M., PRECISIONS SUR MICHEL CORNEILLE ET SES FILS, 1961, PP. 45-58 ; SCHNAPPER A., JEAN JOUVENET, 1974, P. 38 ; BERGOT F.-RAMADE P., CATALOGUE DES PEINTURES DE L'ECOLE FRANCAISE DU XVIIE SIECLE AU MUSEE DES BEAUX-ARTS DE RENNES, 1979, n° 12 ; WRIGHT C., THE FRENCH PAINTERS OF THE SEVENTEENTH CENTURY, LONDON, 1985, P. 168",,,2022-12-01,,© musée des beaux-arts de Rennes,,,,,,,Bretagne,Ille-et-Vilaine,Rennes,musée des beaux-arts,Rennes ; musée des beaux-arts,Rennes ; musée des beaux-arts
00000081347,peinture,INV 1271,M5031,propriété de l'Etat ; saisie révolutionnaire ; musée du Louvre département des Peintures,tableau,,La Vierge du chancelier Rolin ; dit aussi La Vierge d'Autun,EYCK Jan van,,"Maaseyck, ? ; Bruges, 1441",,Pays-Bas anciens,,2e quart 15e siècle,1435 vers,,,,"Autun (église, provenance)",commandé par Nicolas Rolin pour la collégiale Notre-Dame d'Autun,,,,,,Autun (lieu de provenance),,,,peinture à l'huile ; bois,66 H ; 62 L,,,,,"figures bibliques (Vierge à l'Enfant, assis, en pied, de trois-quarts, Enfant Jésus : nu) ; ange ; portrait (en donateur, Rolin Nicolas, homme, assis, en pied, de profil, livre, prière, magistrat) ; intérieur ; arcade ; pavement ; fond de paysage (ville, cours d'eau)",,,,1796 ; 1800 Entrée matérielle,,,,,,,,,,"FRIEDLANDER I P. 95 ; BOLDASS 10 ; FAGGIN 16 ; VILLOT II 162 ; DEMONTS 1986, P. 47 ; MICHEL 1986, P. 115 ; C.S.I. 1, P. 57",,,2024-11-18,,© C. Jean ; Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
00000089561,peinture,RF 1963-103,M5030,propriété de l'Etat ; achat sous réserve d'usufruit ; Musée de l'Orangerie,tableau,,Notre-Dame,UTRILLO Maurice,,"Paris, 1883 ; Dax, 1955",,France,,1ère moitié 20e siècle,,,,,oeuvre inachevée,,,,,,,,,,,peinture à l'huile ; carton,H. 65 ; l. 49,signé,Maurice.utrillo.v. (s.b.d.a la peinture noire),,,"vue d'architecture (cathédrale, Paris, façade)",NOTRE-DAME,,,1957 acquis ; 1963 entrée matérielle,Libaude L. (Paris) ; Guillaume Paul ; Walter Mme Vve Jean,,,,,,,,"- L'art contemporain, Anvers, 1935 ;#- Exposition universelle, les maîtres de l'art indépendant, Petit Palais, Paris, 1937, n° 5","Cat.Hoog, 1990 n° 135",,,1997-05-02,,,,,,,,,Ile-de-France,Paris,Paris,musée de l'Orangerie des Tuileries,Paris ; musée de l'Orangerie,Paris ; musée de l'Orangerie des Tuileries
00000093342,peinture,INV. 70-4-1,M0286,propriété de la commune ; achat ; Orléans ; musée des beaux-arts,tableau,,Bacchus et Ariane,Le Nain (frères),,,,France,LE NAIN LOUIS (ancienne attribution) ; LE NAIN MATHIEU (attribué en 1797),1ère moitié 17e siècle,1635 avant,,,,oeuvre en rapport,"selon Jean-Pierre Cuzin, proche par son style de l'adoration des Bergers par Mathieu Le Nain, conservée à la national gallery de Londres, et de la Nativité de la Vierge conservée en la cathédrale Notre-Dame de Paris ; selon Pierre Rosenberg affinités stylistiques avec La rixe par Mathieu Le Nain, tableau conservé à Cardiff en Grande-Bretagne et avec La victoire du musée du Louvre ; influence notable de l'école de Fontainebleau ainsi que celle de la planche illustrant le même épisode dans l'édition de 1617 des Tableaux de plate peinture...de Philostrate traduits par Blaise de Vigenere",,,,,,,,,,peinture à l'huile ; toile,102 H ; 152 L,,,,,"scène mythologique (Bacchus, Ariane : sommeil, nudité, homme, marin, ?, marin pêcheur, ?, bateau, rocher, mer, nuage)",,,fable : sur la mythologie ; Ovide : Les Métamorphoses d'Ovide,1970,"antiquaire, Château-Thierry (1954) ; galerie Heim, Paris",,,,,,,,,"O'NEILL MARY, LES PEINTURES DE L'ECOLE FRANCAISE DES XVIIE ET XVIIIE SIECLES, MUSEE DES BEAUX-ARTS D'ORLEANS, VOL. I, n° 102, VOL. II, P. 89 ; TRENTE TABLEAU..., GALERIE HEIM, PARIS, 1955, n° 13 ; LOUIS LE NAIN, ZURICH, 1956, n° 151 ; ROME, 1956, n° 172 ; STOCKHOLM, 1958, n° 36",,,2023-12-11,,RMN-Grand Palais,,,,,,,Centre-Val de Loire,Loiret,Orléans,musée des beaux-arts,Orléans ; musée des beaux-arts,Orléans ; musée des beaux-arts
00000093365,peinture,INV. 493,M0286,propriété de la commune ; Orléans ; musée des beaux-arts ; Saisie révolutionnaire,élément d'ensemble,,LA FUITE EN EGYPTE,Hallé Noël (1711-1781),,"Paris, 1711 ; Paris, 1781",,France,,3e quart 18e siècle,1759,,,,"Orléans (provenance, établissement conventuel, ?, ?, ensemble déposé) ; oeuvre en rapport","commandé en 1760 par les bénédictins d'Orléans pour l'église du monastère de Notre-Dame de Bonne-Nouvelle à Orléans ; cinq autres toiles exécutées dans les années 1759-1762 par Hallé, Deshays, Vien et Restout pour le même monastère et conservées au musée ; numéros d'inventaire des autres éléments : inv 364, inv 494, inv 750, inv 864, inv 865 ; deux études préparatoires connues : une esquisse conservée dans une collection particulière à Paris et un modello plus achevé conservé dans une collectIon particulière à Strasbourg",,,,,,Orléans (lieu de provenance),,décor d'architecture,,peinture à l'huile ; toile,291 H ; 194 L,signé,HALLE 1759 (S.D. SELON LE BIBL. 1876),,,"scène biblique (Fuite en Egypte, angelot)",,,Nouveau Testament,1825 Entrée matérielle,Bénédictins d'Orléans,dépôt ; Orléans ; Eglise Saint-Paterne,1955,"ORLEANS, CATHEDRALE SAINTE-CROIX (1825)",,,,bord supérieur du support et de la surface peinte (cintre),"Salon de l'académie royale de peinture, Paris, 1759, n° 17","O'NEILL MARY, LES PEINTURES DE L'ECOLE FRANCAISE DES XVIIE ET XVIIIE SIECLES, MUSEE DES BEAUX-ARTS D'ORLEANS, VOL. I, n° 79, VOL. II, P. 76",,,2023-12-08,,,,,,,,,Centre-Val de Loire,Loiret,Orléans,musée des beaux-arts,Orléans ; musée des beaux-arts,Orléans ; musée des beaux-arts
00000094544,dessin,INV 90.3.117,M0211,propriété de la commune ; don manuel ; Rennes ; musée des Beaux-Arts,,,NOTRE-DAME DE PARIS VUE DE LA SEINE,Godet Camille (1879-1966),,"Rennes (?), 1879 ; Bain-de-Bretagne (?), 1966",,France,,1ère moitié 20e siècle ; 3e quart 20e siècle,,,,,,,,,,,,,,,,mine de plomb ; aquarelle ; gouache ; papier (blanc),22.6 H ; 15.8 L,,,,,"vue d'architecture (cathédrale, Paris, maison, Seine, bateau)",NOTRE-DAME,,,1989,Godet Mme Hélène,,,,,,,trous de punaises,,,,,2023-10-09,,,VRAI,2037,,,,,Bretagne,Ille-et-Vilaine,Rennes,musée des beaux-arts,Rennes ; musée des beaux-arts,Rennes ; musée des beaux-arts
